ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB
251,Resignation-Other reasons,2013,2006,2006,Teacher,Primary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,A,D,A,SA,A,A,SA,SA,SA,SA,SA,A,A,A,A,A,A,A,N,SA,Male,26-30,N/A,N/A,N/A,N/A,N/A
252,Age Retirement,2012,1989,2008,Teacher,Primary,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,N,A,N,A,SA,A,SA,A,A,A,N,N,A,A,A,A,A,A,N,SA,Female,61 or older,N/A,N/A,N/A,N/A,Yes
253,Age Retirement,2012,2011,2011,Teacher,Secondary,Far North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,N,N,A,A,N,N,A,A,A,A,N,N,N,N,A,A,A,A,A,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
254,Age Retirement,2012,1996,1996,Cleaner,,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,A,N,N,N,A,A,N,A,A,A,A,A,N,N,N,N,A,A,A,D,D,Female,51-55,N/A,N/A,N/A,N/A,N/A
255,Resignation-Other reasons,2012,2000,2012,Teacher,Secondary,Central Queensland,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,M,D,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,Female,31-35,N/A,N/A,N/A,N/A,N/A
256,Resignation-Other employer,2012,2008,2012,Cleaner,,South East,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,N,N,N,N,N,N,N,N,N,N,SD,SD,SD,SD,SD,SD,SD,A,A,Female,46-50,N/A,N/A,N/A,N/A,N/A
257,Resignation-Move overseas/interstate,2012,2005,2005,Teacher Aide,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,A,A,A,SA,SA,SA,SA,SA,SA,SA,A,A,A,N,SA,A,SA,D,D,Female,46-50,N/A,N/A,N/A,N/A,N/A
258,Resignation-Other reasons,2012,2012,2012,Public Servant,A01-A04,Darling Downs South West,,Temporary Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,SA,N/A,A,A,A,A,SA,SA,A,N/A,SA,A,A,SA,SA,A,N,N,SA,Female,21-25,N/A,N/A,N/A,N/A,N/A
259,Resignation-Other employer,2012,2007,2007,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,D,D,D,N,N,SD,SD,SA,A,SA,A,D,D,A,A,A,A,A,D,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
260,Resignation-Move overseas/interstate,2012,2008,2008,Schools Officer,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,SD,N,N,A,SA,D,D,D,SA,SA,SD,SD,A,D,A,A,D,D,A,SD,Male,41-45,N/A,N/A,N/A,N/A,N/A
261,Age Retirement,2012,1996,1996,Cleaner,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,N/A,A,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,A,A,A,A,N/A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
262,Ill Health Retirement,2012,2011,2011,Schools Officer,,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,56-60,N/A,N/A,N/A,N/A,N/A
263,Resignation-Move overseas/interstate,2013,2011,2011,Teacher,Secondary,South East,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,D,N,N,A,A,N,A,SA,A,SA,A,SA,A,A,N,N,A,A,D,N,Male,36-40,N/A,N/A,N/A,N/A,N/A
264,Resignation-Move overseas/interstate,2013,2009,2012,Teacher,Special Education,North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,A,SA,SA,SA,SA,A,SA,A,SA,A,A,A,A,SA,A,A,Female,21-25,N/A,N/A,N/A,N/A,N/A
265,Resignation-Other reasons,2012,2011,2011,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,20 or younger,Yes,N/A,N/A,N/A,N/A
266,Age Retirement,2012,2007,2007,Schools Officer,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,A,A,A,A,A,A,A,SA,A,N,N,A,N,A,SA,A,A,A,SA,Male,61 or older,N/A,N/A,N/A,N/A,N/A
267,Age Retirement,2013,1989,1989,Cleaner,,Not Stated,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N/A,A,A,M,A,A,A,A,A,A,A,N/A,A,N/A,A,A,A,A,M,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
268,Resignation-Other employer,2012,2011,2011,Cleaner,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N/A,SA,SA,SA,SA,SA,SA,SA,SA,Female,36-40,N/A,N/A,N/A,N/A,N/A
269,Resignation-Move overseas/interstate,2012,2011,2012,Teacher,Secondary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,A,A,A,A,SA,A,A,SA,A,A,A,A,A,A,A,A,A,N,SA,Female,31-35,N/A,N/A,N/A,N/A,N/A
270,Resignation-Other reasons,2012,2010,2010,Teacher,Secondary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,N,A,A,A,A,N,A,A,A,A,A,A,A,N,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
271,Age Retirement,2012,1981,1981,Teacher Aide,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N,M,A,A,A,A,N,N,N,N,A,N,D,D,D,N,N,A,N,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
272,Termination,2012,1970,2005,Public Servant,AO8 and Above,Central Office,Training and Tertiary Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,D,SD,SD,SD,D,N,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,D,SD,N,D,Male,61 or older,N/A,N/A,N/A,N/A,N/A
273,Ill Health Retirement,2012,1972,1978,Head of Curriculum/Head of Special Education,,Metropolitan,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,A,A,A,N,A,A,N,N,A,A,A,A,N,A,A,A,A,A,A,N,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
274,Resignation-Other reasons,2012,1991,2007,Teacher,Primary,Central Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,A,A,A,A,A,A,A,A,A,N/A,A,A,A,A,A,A,A,A,A,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
275,Resignation-Other employer,2013,2011,2011,Public Servant,A01-A04,Not Stated,,Temporary Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SD,A,SA,A,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,A,A,A,N,SA,SA,Female,36-40,N/A,N/A,N/A,N/A,N/A
276,Other,2012,2001,2005,Public Servant,AO5-AO7,Central Office,"Policy, Research, Legislation",Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,SD,SD,SA,SA,A,A,A,SA,D,SD,A,SA,SA,N,A,A,A,A,SA,SA,Female,51-55,N/A,N/A,N/A,N/A,Yes
277,Age Retirement,2012,1986,1986,Teacher Aide,,Central Office,Education Queensland,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,SA,N/A,A,A,A,SA,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
278,Voluntary Early Retirement (VER),2012,1992,1998,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,D,SD,SD,SD,SA,A,SD,D,SD,D,D,D,D,D,SD,SD,D,SD,D,SD,Female,56-60,N/A,N/A,N/A,N/A,N/A
279,Voluntary Early Retirement (VER),2012,2009,2010,Public Servant,A01-A04,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,D,A,A,A,A,M,A,A,D,A,A,A,A,A,A,A,A,D,D,Female,31-35,N/A,N/A,N/A,N/A,N/A
280,Resignation-Other reasons,2012,1992,1992,Cleaner,,Not Stated,,Permanent Part-time,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SA,D,SD,SD,D,A,SD,SD,SD,D,A,D,SD,SD,SD,SD,D,SD,D,SD,SD,Female,61 or older,N/A,N/A,N/A,N/A,N/A
281,Age Retirement,2012,1997,1997,Cleaner,,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,A,A,A,A,A,A,A,A,A,A,SA,SA,A,SA,A,A,A,A,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
282,Age Retirement,2013,1978,1978,Teacher,Primary,Metropolitan,,Permanent Full-time,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,SD,SD,SA,A,SD,SD,SA,N,N,D,SD,A,N,SD,SD,A,N,SD,D,Female,51-55,N/A,N/A,N/A,N/A,N/A
283,Voluntary Early Retirement (VER),2012,2003,2012,Public Servant,AO5-AO7,Central Office,Infrastructure,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,A,N,A,A,A,A,A,A,A,A,N/A,N,A,A,N,A,N,N,N,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
284,Resignation-Other employer,2012,2007,2007,Teacher,Secondary,North Coast,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,A,A,N,D,A,D,SA,SA,SA,SA,A,A,N,A,A,A,N,A,A,Female,26-30,N/A,N/A,N/A,N/A,N/A
285,Resignation-Other employer,2012,2007,2008,Teacher,Secondary,North Coast,,Permanent Full-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,D,D,D,D,D,D,A,SA,SA,SD,D,A,SA,A,D,A,A,A,A,A,Female,31-35,N/A,N/A,N/A,N/A,N/A
286,Resignation-Move overseas/interstate,2012,2012,2012,Cleaner,,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N/A,A,N/A,A,A,A,SA,SA,A,A,N/A,N/A,N/A,N/A,A,A,A,A,N/A,A,Female,,N/A,N/A,N/A,N/A,N/A
287,Resignation-Other employer,2012,2012,2012,Teacher Aide,,Not Stated,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,36-40,N/A,N/A,N/A,N/A,N/A
288,Age Retirement,2012,2003,2003,Cleaner,,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,N/A,N/A,A,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,A,A,A,A,N/A,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
289,Resignation-Move overseas/interstate,2013,Not Stated,Not Stated,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,D,N,D,N,N,N,SD,N,N,A,N,A,N,N,D,D,N,D,N,N,N,Female,26-30,N/A,N/A,N/A,N/A,N/A
290,Age Retirement,2012,1974,1989,Teacher,Primary,North Queensland,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,A,N,A,A,A,N,N,N,A,A,A,A,A,A,N,A,A,A,A,N,N,Female,61 or older,N/A,N/A,N/A,N/A,N/A
291,Age Retirement,2013,1994,1996,Cleaner,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,D,N,A,A,A,N,N,N,A,N,N,N,N,D,A,A,A,N,A,Male,61 or older,N/A,N/A,N/A,N/A,N/A
292,Resignation-Other employer,2013,Not Stated,Not Stated,Teacher Aide,,Not Stated,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N/A,A,A,A,A,A,A,A,A,A,A,N/A,A,A,N,A,N,A,N/A,SA,Female,56-60,N/A,N/A,N/A,N/A,N/A
293,Age Retirement,2013,1983,1983,Teacher,Primary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,A,A,A,A,N,A,N,N,N,N,N,N,N,N,N,N,N,N,N,,56-60,N/A,N/A,N/A,N/A,N/A
294,Resignation-Move overseas/interstate,2012,Not Stated,Not Stated,Schools Officer,,South East,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,M,SA,M,SA,SA,SA,SA,SA,SA,,61 or older,N/A,N/A,N/A,N/A,N/A
295,Voluntary Early Retirement (VER),2013,1992,1992,Professional Officer,PO1-PO4,South East,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,SD,A,N,SA,SA,D,A,A,SA,A,A,SD,N,N,A,D,N,N,D,SD,Male,56-60,N/A,N/A,N/A,N/A,N/A
296,Resignation-Move overseas/interstate,2012,1980,2003,Teacher,Special Education,Central Office,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,A,N,A,A,A,A,A,A,A,N,N,N,D,D,D,N,N,N,N,N,N,Female,51-55,N/A,N/A,N/A,N/A,N/A
297,Resignation-Other employer,2012,2006,2009,Technical Officer,,North Coast,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,D,A,A,A,SA,A,SA,A,A,N,A,A,A,A,A,A,A,A,A,A,Male,41-45,N/A,N/A,N/A,N/A,N/A
298,Age Retirement,2012,1997,1997,Teacher Aide,,Darling Downs South West,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,A,SD,N,A,A,A,A,A,A,A,N,D,N,N,A,A,A,A,A,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
299,Other,2013,2012,2012,Teacher,Primary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,21-25,N/A,N/A,N/A,N/A,N/A
300,Age Retirement,2012,1990,1997,Public Servant,A01-A04,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,SA,A,A,A,A,A,A,A,SA,SA,SA,A,A,A,A,A,A,A,N,A,Female,56-60,N/A,N/A,N/A,N/A,N/A
301,Resignation-Move overseas/interstate,2012,1996,1996,Teacher,Primary,Darling Downs South West,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,N,D,D,N,D,A,D,D,A,N,SD,A,A,A,SA,D,N,A,A,D,A,Female,51-55,N/A,N/A,N/A,N/A,N/A
302,Resignation-Other employer,2012,Not Stated,Not Stated,School Administrative Staff,,Not Stated,,Permanent Part-time,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,N,D,A,A,SA,N,A,A,SA,SA,A,A,A,A,A,SA,A,A,A,A,Female,46-50,N/A,N/A,N/A,N/A,N/A
303,Age Retirement,2013,1988,1988,Cleaner,,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,A,A,A,A,A,SA,A,A,A,A,A,A,N,N,N,A,A,A,A,A,D,Female,56-60,N/A,N/A,N/A,N/A,N/A
304,Resignation-Other reasons,2012,2005,2011,Cleaner,,South East,,Permanent Part-time,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,SD,SD,SD,D,N,SD,SD,SD,SD,D,SD,SD,SD,SD,SD,SD,D,SD,SD,SD,Male,51-55,N/A,N/A,N/A,N/A,N/A
305,Resignation-Other employer,2013,2009,2009,Teacher,Secondary,Central Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,A,SA,A,A,N,A,SA,A,A,A,A,A,A,A,A,A,A,A,A,A,Male,46-50,N/A,N/A,N/A,N/A,N/A
306,Contract Expired,2012,2011,2011,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,D,N,N/A,A,SA,A,N,SA,SA,A,A,A,A,SA,A,A,SA,SA,A,SD,Male,41-45,N/A,N/A,N/A,N/A,N/A
307,Contract Expired,2012,2011,2011,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,A,A,A,A,A,A,A,A,A,A,N,A,A,A,A,A,A,N,N,Male,21-25,N/A,N/A,N/A,N/A,N/A
308,Age Retirement,2012,2007,2007,Cleaner,,Far North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,SA,A,SA,SA,SA,SA,SA,SA,SA,A,A,A,SA,A,SA,SA,A,SA,SA,A,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
309,Age Retirement,2013,1988,1988,Teacher,Secondary,Not Stated,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,D,D,A,D,A,A,SD,SD,SD,D,D,A,D,A,SD,D,SD,D,D,A,A,Male,51-55,N/A,N/A,N/A,N/A,N/A
310,Age Retirement,2012,1988,2008,Teacher,Special Education,South East,,Permanent Full-time,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,51-55,N/A,N/A,N/A,N/A,N/A
311,Age Retirement,2013,1972,1989,Guidance Officer,,North Coast,,Permanent Full-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,A,SD,D,D,D,SD,SD,A,N,N,N,D,SD,D,SD,D,N,N,D,D,Male,61 or older,N/A,N/A,N/A,N/A,N/A
312,Resignation-Other employer,2013,2001,2007,Teacher,Secondary,North Queensland,,Permanent Full-time,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A,N,D,N,A,N,N,SD,A,N,D,N,N,N,N,N,N,A,N,N,N,Male,36-40,N/A,N/A,N/A,N/A,N/A
313,Resignation-Other reasons,2013,1999,2012,Teacher,Primary,North Coast,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,D,N,D,D,A,D,SD,D,D,N,D,D,N/A,N/A,N/A,D,D,SD,N,SD,SD,Female,36-40,N/A,N/A,N/A,N/A,N/A
314,Age Retirement,2013,1969,1995,Guidance Officer,,Metropolitan,,Permanent Part-time,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A,N,A,N,SA,A,N,A,A,A,A,N,N,A,A,A,A,A,A,N,A,Female,61 or older,N/A,N/A,N/A,N/A,N/A
