Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Total Cohort,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2005,123,59,48,45,36.6,76.3,2,1.6,3.4,43,35,72.900000000000006,14,11.4,23.7,31,25.2,27,22
Total Cohort,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2006,144,74,51.4,70,48.6,94.6,4,2.8,5.4,66,45.8,89.2,4,2.8,5.4,30,20.8,23,16
Total Cohort,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,2006 Aug,144,78,54.2,72,50,92.3,4,2.8,5.1,68,47.2,87.2,6,4.2,7.7,26,18.100000000000001,23,16
Total Cohort,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2001,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2002,75,31,41.3,15,20,48.4,0,0,0,15,20,48.4,16,21.3,51.6,31,41.3,11,14.7
Total Cohort,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2003,144,60,41.7,34,23.6,56.7,0,0,0,34,23.6,56.7,26,18.100000000000001,43.3,33,22.9,46,31.9
Total Cohort,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2004,76,26,34.200000000000003,16,21.1,61.5,1,1.3,3.8,15,19.7,57.7,10,13.2,38.5,25,32.9,24,31.6
Total Cohort,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2003,319,137,42.9,59,18.5,43.1,17,5.3,12.4,42,13.2,30.7,78,24.5,56.9,91,28.5,82,25.7
Total Cohort,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2005,97,49,50.5,41,42.3,83.7,3,3.1,6.1,38,39.200000000000003,77.599999999999994,8,8.199999999999999,16.3,30,30.9,18,18.600000000000001
Total Cohort,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2006,115,46,40,36,31.3,78.3,4,3.5,8.699999999999999,32,27.8,69.599999999999994,10,8.699999999999999,21.7,50,43.5,14,12.2
Total Cohort,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,2006 Aug,115,54,47,38,33,70.400000000000006,4,3.5,7.4,34,29.6,63,16,13.9,29.6,42,36.5,14,12.2
Asian,16K455,BOYS AND GIRLS HIGH SCHOOL,2004,8,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X440,DEWITT CLINTON HIGH SCHOOL,2001,972,558,57.4,392,40.299999999999997,70.3,130,13.4,23.3,262,27,47,167,17.2,29.9,238,24.5,116,11.9
Total Cohort,10X440,DEWITT CLINTON HIGH SCHOOL,2002,916,531,58,372,40.6,70.099999999999994,155,16.899999999999999,29.2,217,23.7,40.9,160,17.5,30.1,222,24.2,129,14.1
Total Cohort,10X440,DEWITT CLINTON HIGH SCHOOL,2003,1072,580,54.1,418,39,72.099999999999994,171,16,29.5,247,23,42.6,162,15.1,27.9,288,26.9,172,16
Total Cohort,10X440,DEWITT CLINTON HIGH SCHOOL,2004,937,483,51.5,365,39,75.599999999999994,134,14.3,27.7,231,24.7,47.8,118,12.6,24.4,314,33.5,118,12.6
Total Cohort,10X440,DEWITT CLINTON HIGH SCHOOL,2005,1008,608,60.3,446,44.2,73.400000000000006,176,17.5,28.9,270,26.8,44.4,162,16.100000000000001,26.6,224,22.2,138,13.7
Total Cohort,10X440,DEWITT CLINTON HIGH SCHOOL,2006,1013,572,56.5,397,39.200000000000003,69.400000000000006,117,11.5,20.5,280,27.6,49,175,17.3,30.6,216,21.3,177,17.5
Total Cohort,10X440,DEWITT CLINTON HIGH SCHOOL,2006 Aug,1013,628,62,413,40.799999999999997,65.8,118,11.6,18.8,295,29.1,47,215,21.2,34.200000000000003,160,15.8,177,17.5
Total Cohort,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2003,76,60,78.900000000000006,37,48.7,61.7,6,7.9,10,31,40.799999999999997,51.7,23,30.3,38.299999999999997,12,15.8,3,3.9
Total Cohort,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2004,72,42,58.3,25,34.700000000000003,59.5,3,4.2,7.1,22,30.6,52.4,17,23.6,40.5,27,37.5,3,4.2
Total Cohort,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2005,74,50,67.599999999999994,38,51.4,76,6,8.1,12,32,43.2,64,12,16.2,24,17,23,2,2.7
Total Cohort,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2006,82,61,74.400000000000006,44,53.7,72.099999999999994,11,13.4,18,33,40.200000000000003,54.1,17,20.7,27.9,14,17.100000000000001,6,7.3
Total Cohort,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,2006 Aug,82,66,80.5,46,56.1,69.7,11,13.4,16.7,35,42.7,53,20,24.4,30.3,9,11,6,7.3
Total Cohort,10X445,BRONX HIGH SCHOOL OF SCIENCE,2001,641,614,95.8,614,95.8,100,605,94.4,98.5,9,1.4,1.5,0,0,0,25,3.9,2,0.3
Total Cohort,10X445,BRONX HIGH SCHOOL OF SCIENCE,2002,587,573,97.6,573,97.6,100,572,97.4,99.8,1,0.2,0.2,0,0,0,13,2.2,0,0
Total Cohort,10X445,BRONX HIGH SCHOOL OF SCIENCE,2003,559,549,98.2,549,98.2,100,544,97.3,99.1,5,0.9,0.9,0,0,0,10,1.8,0,0
Total Cohort,10X445,BRONX HIGH SCHOOL OF SCIENCE,2004,594,584,98.3,584,98.3,100,579,97.5,99.1,5,0.8,0.9,0,0,0,8,1.3,2,0.3
Total Cohort,10X445,BRONX HIGH SCHOOL OF SCIENCE,2005,581,574,98.8,574,98.8,100,568,97.8,99,6,1,1,0,0,0,6,1,0,0
Total Cohort,10X445,BRONX HIGH SCHOOL OF SCIENCE,2006,668,657,98.4,657,98.4,100,653,97.8,99.4,4,0.6,0.6,0,0,0,11,1.6,0,0
Total Cohort,10X445,BRONX HIGH SCHOOL OF SCIENCE,2006 Aug,668,663,99.3,663,99.3,100,659,98.7,99.4,4,0.6,0.6,0,0,0,5,0.7,0,0
Total Cohort,10X475,JOHN F. KENNEDY HIGH SCHOOL,2001,930,291,31.3,157,16.899999999999999,54,36,3.9,12.4,121,13,41.6,134,14.4,46,375,40.299999999999997,245,26.3
Total Cohort,10X475,JOHN F. KENNEDY HIGH SCHOOL,2002,857,282,32.9,157,18.3,55.7,33,3.9,11.7,124,14.5,44,126,14.7,44.7,289,33.700000000000003,250,29.2
Total Cohort,10X475,JOHN F. KENNEDY HIGH SCHOOL,2003,700,245,35,109,15.6,44.5,21,3,8.6,88,12.6,35.9,136,19.399999999999999,55.5,201,28.7,206,29.4
Total Cohort,10X475,JOHN F. KENNEDY HIGH SCHOOL,2004,771,350,45.4,104,13.5,29.7,13,1.7,3.7,91,11.8,26,246,31.9,70.3,256,33.200000000000003,125,16.2
Total Cohort,10X475,JOHN F. KENNEDY HIGH SCHOOL,2005,716,280,39.1,121,16.899999999999999,43.2,1,0.1,0.4,120,16.8,42.9,159,22.2,56.8,177,24.7,131,18.3
Total Cohort,10X475,JOHN F. KENNEDY HIGH SCHOOL,2006,502,179,35.700000000000003,97,19.3,54.2,14,2.8,7.8,83,16.5,46.4,82,16.3,45.8,118,23.5,147,29.3
Total Cohort,10X475,JOHN F. KENNEDY HIGH SCHOOL,2006 Aug,502,224,44.6,111,22.1,49.6,14,2.8,6.3,97,19.3,43.3,113,22.5,50.4,77,15.3,143,28.5
Total Cohort,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2001,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2002,80,71,88.8,62,77.5,87.3,6,7.5,8.5,56,70,78.900000000000006,9,11.3,12.7,4,5,4,5
Total Cohort,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2003,92,85,92.4,76,82.6,89.4,12,13,14.1,64,69.599999999999994,75.3,9,9.800000000000001,10.6,5,5.4,1,1.1
Total Cohort,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2004,108,94,87,79,73.099999999999994,84,20,18.5,21.3,59,54.6,62.8,15,13.9,16,10,9.300000000000001,4,3.7
Total Cohort,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2005,95,83,87.4,78,82.1,94,15,15.8,18.100000000000001,63,66.3,75.900000000000006,5,5.3,6,11,11.6,1,1.1
Total Cohort,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2006,107,95,88.8,92,86,96.8,23,21.5,24.2,69,64.5,72.599999999999994,3,2.8,3.2,9,8.4,0,0
Total Cohort,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,2006 Aug,107,96,89.7,93,86.9,96.9,23,21.5,24,70,65.400000000000006,72.900000000000006,3,2.8,3.1,8,7.5,0,0
Total Cohort,10X495,UNIVERSITY HEIGHTS,2001,87,54,62.1,10,11.5,18.5,0,0,0,10,11.5,18.5,44,50.6,81.5,19,21.8,11,12.6
Total Cohort,10X495,UNIVERSITY HEIGHTS,2002,68,46,67.599999999999994,7,10.3,15.2,0,0,0,7,10.3,15.2,39,57.4,84.8,8,11.8,14,20.6
Total Cohort,10X495,UNIVERSITY HEIGHTS,2003,92,78,84.8,28,30.4,35.9,0,0,0,28,30.4,35.9,50,54.3,64.099999999999994,6,6.5,8,8.699999999999999
Total Cohort,10X495,UNIVERSITY HEIGHTS,2004,88,74,84.1,41,46.6,55.4,0,0,0,41,46.6,55.4,33,37.5,44.6,8,9.1,5,5.7
Total Cohort,10X495,UNIVERSITY HEIGHTS,2005,106,92,86.8,51,48.1,55.4,0,0,0,51,48.1,55.4,41,38.700000000000003,44.6,5,4.7,9,8.5
Total Cohort,10X495,UNIVERSITY HEIGHTS,2006,117,106,90.6,47,40.200000000000003,44.3,0,0,0,47,40.200000000000003,44.3,59,50.4,55.7,0,0,9,7.7
Total Cohort,10X495,UNIVERSITY HEIGHTS,2006 Aug,117,106,90.6,47,40.200000000000003,44.3,0,0,0,47,40.200000000000003,44.3,59,50.4,55.7,0,0,9,7.7
Total Cohort,10X546,BRONX THEATRE HIGH SCHOOL,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X546,BRONX THEATRE HIGH SCHOOL,2003,73,55,75.3,36,49.3,65.5,2,2.7,3.6,34,46.6,61.8,19,26,34.5,10,13.7,6,8.199999999999999
Total Cohort,10X546,BRONX THEATRE HIGH SCHOOL,2004,100,58,58,30,30,51.7,3,3,5.2,27,27,46.6,28,28,48.3,25,25,16,16
Total Cohort,10X546,BRONX THEATRE HIGH SCHOOL,2005,100,66,66,39,39,59.1,1,1,1.5,38,38,57.6,27,27,40.9,20,20,13,13
Total Cohort,10X546,BRONX THEATRE HIGH SCHOOL,2006,108,56,51.9,34,31.5,60.7,3,2.8,5.4,31,28.7,55.4,22,20.399999999999999,39.299999999999997,30,27.8,20,18.5
Total Cohort,10X546,BRONX THEATRE HIGH SCHOOL,2006 Aug,108,73,67.599999999999994,42,38.9,57.5,3,2.8,4.1,39,36.1,53.4,31,28.7,42.5,13,12,20,18.5
Total Cohort,10X549,DISCOVERY HIGH SCHOOL,2002,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,10X549,DISCOVERY HIGH SCHOOL,2003,67,34,50.7,22,32.799999999999997,64.7,1,1.5,2.9,21,31.3,61.8,12,17.899999999999999,35.299999999999997,21,31.3,7,10.4
Total Cohort,10X549,DISCOVERY HIGH SCHOOL,2004,91,56,61.5,27,29.7,48.2,4,4.4,7.1,23,25.3,41.1,29,31.9,51.8,24,26.4,8,8.800000000000001
Total Cohort,10X549,DISCOVERY HIGH SCHOOL,2005,101,55,54.5,43,42.6,78.2,21,20.8,38.200000000000003,22,21.8,40,12,11.9,21.8,25,24.8,12,11.9
Total Cohort,10X549,DISCOVERY HIGH SCHOOL,2006,96,62,64.599999999999994,56,58.3,90.3,24,25,38.700000000000003,32,33.299999999999997,51.6,6,6.3,9.699999999999999,15,15.6,13,13.5
Total Cohort,10X549,DISCOVERY HIGH SCHOOL,2006 Aug,96,63,65.599999999999994,56,58.3,88.9,24,25,38.1,32,33.299999999999997,50.8,7,7.3,11.1,14,14.6,13,13.5
Total Cohort,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2001,288,109,37.799999999999997,33,11.5,30.3,4,1.4,3.7,29,10.1,26.6,76,26.4,69.7,94,32.6,72,25
Total Cohort,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2002,367,149,40.6,51,13.9,34.200000000000003,3,0.8,2,48,13.1,32.200000000000003,98,26.7,65.8,118,32.200000000000003,87,23.7
Total Cohort,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2004,256,93,36.299999999999997,54,21.1,58.1,10,3.9,10.8,44,17.2,47.3,39,15.2,41.9,81,31.6,74,28.9
Total Cohort,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2005,367,152,41.4,81,22.1,53.3,11,3,7.2,70,19.100000000000001,46.1,71,19.3,46.7,112,30.5,83,22.6
Total Cohort,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2006,362,152,42,103,28.5,67.8,7,1.9,4.6,96,26.5,63.2,49,13.5,32.200000000000003,94,26,98,27.1
Total Cohort,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,2006 Aug,362,166,45.9,105,29,63.3,7,1.9,4.2,98,27.1,59,61,16.899999999999999,36.700000000000003,81,22.4,97,26.8
Total Cohort,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2002,59,55,93.2,55,93.2,100,33,55.9,60,22,37.299999999999997,40,0,0,0,3,5.1,1,1.7
Total Cohort,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2003,87,82,94.3,82,94.3,100,71,81.599999999999994,86.6,11,12.6,13.4,0,0,0,5,5.7,0,0
Total Cohort,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2004,87,82,94.3,82,94.3,100,79,90.8,96.3,3,3.4,3.7,0,0,0,5,5.7,0,0
Total Cohort,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2005,75,72,96,72,96,100,61,81.3,84.7,11,14.7,15.3,0,0,0,2,2.7,0,0
Total Cohort,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2006,78,76,97.4,76,97.4,100,68,87.2,89.5,8,10.3,10.5,0,0,0,1,1.3,1,1.3
Total Cohort,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2006 Aug,78,77,98.7,77,98.7,100,68,87.2,88.3,9,11.5,11.7,0,0,0,0,0,1,1.3
Total Cohort,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2004,71,57,80.3,51,71.8,89.5,5,7,8.800000000000001,46,64.8,80.7,6,8.5,10.5,4,5.6,10,14.1
Total Cohort,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2005,61,58,95.1,54,88.5,93.1,6,9.800000000000001,10.3,48,78.7,82.8,4,6.6,6.9,0,0,3,4.9
Total Cohort,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2006,58,56,96.6,56,96.6,100,11,19,19.600000000000001,45,77.599999999999994,80.400000000000006,0,0,0,2,3.4,0,0
Total Cohort,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,2006 Aug,58,56,96.6,56,96.6,100,11,19,19.600000000000001,45,77.599999999999994,80.400000000000006,0,0,0,2,3.4,0,0
Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2002,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2003,6,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2004,93,63,67.7,24,25.8,38.1,0,0,0,24,25.8,38.1,39,41.9,61.9,16,17.2,13,14
Total Cohort,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,2006 Aug,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2005,96,60,62.5,30,31.3,50,1,1,1.7,29,30.2,48.3,30,31.3,50,14,14.6,18,18.8
Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2006,118,79,66.900000000000006,67,56.8,84.8,3,2.5,3.8,64,54.2,81,12,10.199999999999999,15.2,22,18.600000000000001,14,11.9
Total Cohort,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,2006 Aug,118,83,70.3,70,59.3,84.3,3,2.5,3.6,67,56.8,80.7,13,11,15.7,18,15.3,14,11.9
Total Cohort,11X265,BRONX LAB SCHOOL,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X265,BRONX LAB SCHOOL,2004,98,84,85.7,49,50,58.3,0,0,0,49,50,58.3,35,35.700000000000003,41.7,12,12.2,2,2
Total Cohort,11X265,BRONX LAB SCHOOL,2005,96,71,74,37,38.5,52.1,0,0,0,37,38.5,52.1,34,35.4,47.9,25,26,0,0
Total Cohort,11X265,BRONX LAB SCHOOL,2006,94,59,62.8,31,33,52.5,1,1.1,1.7,30,31.9,50.8,28,29.8,47.5,28,29.8,7,7.4
Total Cohort,11X265,BRONX LAB SCHOOL,2006 Aug,94,68,72.3,33,35.1,48.5,1,1.1,1.5,32,34,47.1,35,37.200000000000003,51.5,19,20.2,7,7.4
Total Cohort,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2004,2,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2005,71,42,59.2,22,31,52.4,3,4.2,7.1,19,26.8,45.2,20,28.2,47.6,21,29.6,7,9.9
Total Cohort,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2006,65,43,66.2,30,46.2,69.8,2,3.1,4.7,28,43.1,65.099999999999994,13,20,30.2,19,29.2,2,3.1
Total Cohort,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,2006 Aug,65,50,76.900000000000006,34,52.3,68,2,3.1,4,32,49.2,64,16,24.6,32,12,18.5,2,3.1
Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2003,3,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2004,85,74,87.1,45,52.9,60.8,45,52.9,60.8,0,0,0,29,34.1,39.200000000000003,9,10.6,2,2.4
Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2005,95,75,78.900000000000006,53,55.8,70.7,1,1.1,1.3,52,54.7,69.3,22,23.2,29.3,18,18.899999999999999,1,1.1
Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2006,90,74,82.2,60,66.7,81.099999999999994,11,12.2,14.9,49,54.4,66.2,14,15.6,18.899999999999999,13,14.4,3,3.3
Total Cohort,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,2006 Aug,90,78,86.7,60,66.7,76.900000000000006,11,12.2,14.1,49,54.4,62.8,18,20,23.1,9,10,3,3.3
Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2003,94,88,93.6,79,84,89.8,29,30.9,33,50,53.2,56.8,9,9.6,10.199999999999999,5,5.3,1,1.1
Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2004,91,75,82.4,63,69.2,84,19,20.9,25.3,44,48.4,58.7,12,13.2,16,15,16.5,1,1.1
Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2005,113,81,71.7,63,55.8,77.8,22,19.5,27.2,41,36.299999999999997,50.6,18,15.9,22.2,14,12.4,13,11.5
Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2006,121,90,74.400000000000006,81,66.900000000000006,90,36,29.8,40,45,37.200000000000003,50,9,7.4,10,8,6.6,19,15.7
Total Cohort,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,2006 Aug,121,93,76.900000000000006,82,67.8,88.2,36,29.8,38.700000000000003,46,38,49.5,11,9.1,11.8,5,4.1,19,15.7
Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2003,82,61,74.400000000000006,45,54.9,73.8,3,3.7,4.9,42,51.2,68.900000000000006,16,19.5,26.2,19,23.2,2,2.4
Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2004,80,47,58.8,42,52.5,89.4,5,6.3,10.6,37,46.3,78.7,5,6.3,10.6,20,25,12,15
Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2005,105,66,62.9,51,48.6,77.3,6,5.7,9.1,45,42.9,68.2,15,14.3,22.7,20,19,15,14.3
Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2006,99,62,62.6,53,53.5,85.5,6,6.1,9.699999999999999,47,47.5,75.8,9,9.1,14.5,19,19.2,18,18.2
Total Cohort,11X290,BRONX ACADEMY OF HEALTH CAREERS,2006 Aug,99,66,66.7,55,55.6,83.3,6,6.1,9.1,49,49.5,74.2,11,11.1,16.7,16,16.2,17,17.2
Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2003,75,68,90.7,57,76,83.8,11,14.7,16.2,46,61.3,67.599999999999994,11,14.7,16.2,4,5.3,3,4
Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2004,95,79,83.2,31,32.6,39.200000000000003,5,5.3,6.3,26,27.4,32.9,48,50.5,60.8,16,16.8,0,0
Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2005,95,70,73.7,34,35.799999999999997,48.6,4,4.2,5.7,30,31.6,42.9,36,37.9,51.4,20,21.1,4,4.2
Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2006,111,72,64.900000000000006,45,40.5,62.5,1,0.9,1.4,44,39.6,61.1,27,24.3,37.5,28,25.2,10,9
Total Cohort,11X299,ASTOR COLLEGIATE ACADEMY,2006 Aug,111,78,70.3,46,41.4,59,1,0.9,1.3,45,40.5,57.7,32,28.8,41,22,19.8,10,9
Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2001,819,341,41.6,130,15.9,38.1,29,3.5,8.5,101,12.3,29.6,210,25.6,61.6,308,37.6,114,13.9
Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2002,669,308,46,159,23.8,51.6,1,0.1,0.3,158,23.6,51.3,150,22.4,48.7,265,39.6,69,10.3
Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2003,582,224,38.5,99,17,44.2,9,1.5,4,90,15.5,40.200000000000003,125,21.5,55.8,201,34.5,125,21.5
Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2004,422,146,34.6,67,15.9,45.9,0,0,0,67,15.9,45.9,79,18.7,54.1,163,38.6,90,21.3
Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2005,435,156,35.9,80,18.399999999999999,51.3,10,2.3,6.4,70,16.100000000000001,44.9,76,17.5,48.7,163,37.5,77,17.7
Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2006,382,159,41.6,93,24.3,58.5,9,2.4,5.7,84,22,52.8,66,17.3,41.5,144,37.700000000000003,52,13.6
Total Cohort,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,2006 Aug,382,178,46.6,98,25.7,55.1,10,2.6,5.6,88,23,49.4,80,20.9,44.9,125,32.700000000000003,52,13.6
Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2001,4,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2002,57,46,80.7,17,29.8,37,0,0,0,17,29.8,37,29,50.9,63,8,14,2,3.5
Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2003,72,47,65.3,22,30.6,46.8,0,0,0,22,30.6,46.8,25,34.700000000000003,53.2,15,20.8,7,9.699999999999999
Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2004,96,59,61.5,25,26,42.4,1,1,1.7,24,25,40.700000000000003,34,35.4,57.6,20,20.8,6,6.3
Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2005,96,47,49,26,27.1,55.3,1,1,2.1,25,26,53.2,21,21.9,44.7,31,32.299999999999997,13,13.5
Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006,95,59,62.1,46,48.4,78,7,7.4,11.9,39,41.1,66.099999999999994,13,13.7,22,13,13.7,15,15.8
Total Cohort,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2006 Aug,95,64,67.400000000000006,49,51.6,76.599999999999994,7,7.4,10.9,42,44.2,65.599999999999994,15,15.8,23.4,8,8.4,15,15.8
Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2001,576,196,34,50,8.699999999999999,25.5,5,0.9,2.6,45,7.8,23,146,25.3,74.5,165,28.6,204,35.4
Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2002,498,134,26.9,51,10.199999999999999,38.1,0,0,0,51,10.199999999999999,38.1,83,16.7,61.9,167,33.5,176,35.299999999999997
Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2003,473,138,29.2,48,10.1,34.799999999999997,4,0.8,2.9,44,9.300000000000001,31.9,90,19,65.2,143,30.2,170,35.9
Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2004,162,58,35.799999999999997,15,9.300000000000001,25.9,0,0,0,15,9.300000000000001,25.9,43,26.5,74.099999999999994,25,15.4,67,41.4
Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2005,10,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2006,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X425,EVANDER CHILDS HIGH SCHOOL,2006 Aug,1,s,,s,,,s,,,s,,,s,,,s,,s,
Total Cohort,11X455,HARRY S TRUMAN HIGH SCHOOL,2001,525,293,55.8,207,39.4,70.599999999999994,43,8.199999999999999,14.7,164,31.2,56,86,16.399999999999999,29.4,139,26.5,65,12.4
Total Cohort,11X455,HARRY S TRUMAN HIGH SCHOOL,2002,535,298,55.7,216,40.4,72.5,16,3,5.4,200,37.4,67.099999999999994,82,15.3,27.5,145,27.1,64,12
